q1, q2, q3, q4, q5, q6, x, y, z, r1, r2, r3
-10.01, 75.05, -87.45, 63.36, 75.67, 84.99, 212.5, 12.1, 149.1, 133.48, -57.36, 110.23
-12.39, 72.94, -87.45, 64.77, 87.8, 88.33, 200.6, 8.2, 154.2, 144.1, -60.19, 108.4
-4.74, 40.86, -3.51, 98.08, 47.54, 68.29, 182.8, 25.5, 115.4, -147.24, -65.36, 10.43
-9.49, 80.15, -87.36, 60.55, 79.8, 82.7, 211.0, 13.8, 127.1, 145.23, -56.13, 104.99
-12.74, 80.77, -87.45, 63.72, 92.28, 76.72, 199.9, 6.6, 126.0, 145.91, -57.57, 115.21
9.31, 73.91, -63.36, -71.36, 73.91, 57.12, 210.1, -17.6, 114.0, -121.28, 47.23, 178.63
14.32, 80.5, -62.75, -77.78, 85.25, 60.9, 201.5, -5.3, 98.0, -107.7, 42.37, -176.93
16.43, 78.75, -62.75, -74.97, 95.71, 53.26, 191.5, -0.1, 104.2, -105.5, 34.41, 177.67
10.89, 86.57, -62.75, -76.28, 75.49, 62.84, 205.9, -14.5, 72.9, -113.59, 39.59, -176.34
12.83, 87.53, -62.75, -71.71, 83.05, 61.87, 197.1, -9.7, 68.2, -114.16, 35.47, 176.97
6.24, 47.98, -62.75, 6.5, 37.96, 91.49, 214.7, 27.4, 193.0, 113.18, -7.66, 97.31
6.15, 45.52, -62.75, -5.09, 37.96, 100.28, 211.9, 19.7, 202.1, 110.67, -4.75, 91.01
3.07, 47.02, -62.75, -10.72, 37.79, 103.44, 215.0, 5.1, 197.1, 111.44, -2.19, 85.18
-0.87, 48.86, -62.75, -17.31, 34.89, 109.68, 218.3, -12.9, 193.6, 109.47, -1.73, 78.1
-5.62, 49.83, -62.75, -19.86, 33.39, 109.51, 218.1, -32.1, 191.7, 108.54, 0.88, 73.29
